2,Mexicano,Topa Topa,Foliar,,,,,,2015-2016,12/10/2015,35,20/11/2015,2.55,0.23,1.34,1.56,0.44,0.34,299,6.92,116,39.8,68.1,0.1,250,798
2,Mexicano,Topa Topa,Foliar,,,,,,2015-2016,12/10/2015,70,18/12/2015,2.4,0.23,1.06,1.09,0.33,0.24,70.8,8.87,60.6,98.7,80.1,0.1,250,631
2,Mexicano,Topa Topa,Foliar,,,,,,2015-2016,12/10/2015,105,27/01/2016,2.42,0.28,0.9,1.64,0.48,0.47,122,9.09,134,135,78.2,0.1,250,300
2,Mexicano,Topa Topa,Foliar,,,,,,2015-2016,12/10/2015,140,07/03/2016,2.11,0.18,0.92,1.67,0.6,0.37,82.6,5.41,53.3,103,69.5,10,250,498
2,Mexicano,Topa Topa,Foliar,,,,,,2015-2016,12/10/2015,210,13/05/2016,2.34,0.17,1.08,1.65,0.55,0.34,97.2,5.29,169,94.5,60.6,0.1,250,1071
2,Mexicano,Topa Topa,Flor-Fruto,1,,,,,2008-2009,00/01/1900,,27/08/2008,3.29,0.46,2.07,0.51,0.22,0.31,113,10,44,55,123,0,,388
2,Mexicano,Topa Topa,Flor-Fruto,2,,,,,2008-2009,00/01/1900,,18/09/2008,2.73,0.41,2.33,0.56,0.26,0.28,132,10,37,47,153,1,4,,300
2,Mexicano,Topa Topa,Flor-Fruto,3,,,,,2008-2009,00/01/1900,,16/10/2008,3.92,0.57,2.82,0.89,0.45,0.31,318,11,59,79,163,0,414.6,1034
2,Mexicano,Topa Topa,Flor-Fruto,4,,,,,2008-2009,00/01/1900,,20/11/2008,2.46,0.52,2.94,0.42,0.27,0.21,133,14,24,63,143,0,,539
2,Mexicano,Topa Topa,Flor-Fruto,5,,,,,2008-2009,00/01/1900,,18/12/2008,1.69,0.31,2.02,0.18,0.15,0.13,9.2,5,9.8,35,121,0,,300
2,Mexicano,Topa Topa,Flor-Fruto,6,,,,,2008-2009,00/01/1900,,21/01/2009,1.08,0.18,1.5,0.025,0.09,0.1,40,,5.3,23,108,0,,329
2,Mexicano,Topa Topa,Flor-Fruto,7,,,,,2008-2009,00/01/1900,,11/02/2009,1.14,0.19,1.62,0.17,0.1,0.12,31,5.4,8.2,22,116,0,412,531
2,Mexicano,Topa Topa,Flor-Fruto,8,,,,,2008-2009,00/01/1900,,03/05/2009,0.87,0.13,1.4,0.06,0.05,0.08,25,3.2,,68,77,0,5,295.3,311
2,Mexicano,Topa Topa,Flor-Fruto,1,,,,,2009-2010,00/01/1900,,02/09/2009,3.69,0.52,2.56,0.4,0.19,0.23,60,13,43,65,85,1,4,,300
2,Mexicano,Topa Topa,Flor-Fruto,2,,,,,2009-2010,00/01/1900,,28/09/2009,2.68,0.38,2.14,0.41,0.22,0.23,87,10,26,48,78,0,2,,455
2,Mexicano,Topa Topa,Flor-Fruto,3,,,,,2009-2010,00/01/1900,,06/11/2009,4.18,0.58,2.3,0.51,0.26,0.21,68,14,29,73,90,0,8,,300
2,Mexicano,Topa Topa,Flor-Fruto,4,,,,,2009-2010,00/01/1900,,27/11/2009,2.85,0.48,2.33,0.29,0.22,0.2,53,11,19,61,120,0,,300
2,Mexicano,Topa Topa,Flor-Fruto,5,,,,,2009-2010,00/01/1900,,29/12/2009,1.78,0.3,1.82,0.14,0.15,0.14,59,4.6,7.3,37,80,0,,300
2,Mexicano,Topa Topa,Flor-Fruto,6,,,,,2009-2010,00/01/1900,,06/02/2010,1.22,0.2,2,0.07,0.1,0.09,42,5.3,7.6,33,115,0,,300
2,Mexicano,Topa Topa,Flor-Fruto,7,,,,,2009-2010,00/01/1900,,09/03/2010,0.89,0.18,1.68,0.08,0.08,0.09,25,5.7,,27,118,0.5,444.1,532
2,Mexicano,Topa Topa,Flor-Fruto,8,,,,,2009-2010,00/01/1900,,04/05/2010,0.91,0.1,1.74,0.025,0.04,,7.1,,,10,59,0.1,280.1,401
2,Mexicano,Topa Topa,Flor-Fruto,1,,,,,2010-2011,00/01/1900,,02/09/2010,3.45,0.52,2.44,0.4,0.17,0.22,84,13,31,63,74,0,,356
2,Mexicano,Topa Topa,Flor-Fruto,2,,,,,2010-2011,00/01/1900,,23/09/2010,2.93,0.41,1.9,0.39,0.17,0.23,92,13,46,49,83,0.7,,435
2,Mexicano,Topa Topa,Flor-Fruto,3,,,,,2010-2011,00/01/1900,,06/11/2010,3.91,0.61,2.57,0.49,0.35,0.25,143,14,26,88,101,0.1,311.2,376
2,Mexicano,Topa Topa,Flor-Fruto,4,,,,0.132,2010-2011,00/01/1900,,06/12/2010,2.08,0.34,1.91,0.18,0.16,0.14,33,15,9.3,47,92,0.1,250,313
2,Mexicano,Topa Topa,Flor-Fruto,5,,,,0.116,2010-2011,00/01/1900,,07/01/2011,1.26,0.2,1.76,0.1,0.1,0.08,9.6,3.7,5,36,77,0.1,250,300
2,Mexicano,Topa Topa,Flor-Fruto,6,,,,,2010-2011,00/01/1900,,05/02/2011,1.07,0.21,1.95,0.1,0.11,0.12,38,6.3,9.2,33,92,0.1,250,369
2,Mexicano,Topa Topa,Flor-Fruto,7,,,,0.151,2010-2011,00/01/1900,,08/03/2011,1.01,0.18,1.99,0.08,0.1,0.09,54,5.7,5.7,28,114,0.1,250,300
2,Mexicano,Topa Topa,Flor-Fruto,8,,,,0.21,2010-2011,00/01/1900,,02/05/2011,0.98,0.19,1.84,0.4,0.09,0.11,24,3.1,6.6,15,105,0.1,390.6,652
2,Mexicano,Topa Topa,Flor-Fruto,1,,,,,2011-2012,00/01/1900,,05/09/2011,3.41,0.46,2.28,0.37,0.16,0.21,52,1,5,57,33,0.1,250,472
2,Mexicano,Topa Topa,Flor-Fruto,2,,,,,2011-2012,00/01/1900,,20/09/2011,2.69,0.33,1.8,0.36,0.16,0.26,86,10,26,43,63,2.4,250,995
2,Mexicano,Topa Topa,Flor-Fruto,3,,,,,2011-2012,00/01/1900,,17/11/2011,4.79,0.76,2.88,0.73,0.36,0.29,131,17,43,103,76,0.1,325.6,1769
2,Mexicano,Topa Topa,Flor-Fruto,4,,,,,2011-2012,00/01/1900,,19/12/2011,1.77,0.3,1.89,0.25,0.16,0.14,28.6,9.36,9.91,212.1,285.3,0.17,1000,2500
2,Mexicano,Topa Topa,Flor-Fruto,5,40.7,52.6,48.4,0.121,2011-2012,00/01/1900,,06/01/2012,1.09,0.24,1.34,0.17,0.11,0.1,36.5,8.2,10.5,29.6,63.25,0.15,280,1100
2,Mexicano,Topa Topa,Flor-Fruto,6,52.9,73.1,103.8,0.13391442155309,2011-2012,00/01/1900,,08/02/2012,1.09,0.14,1.27,0.12,0.11,0.08,28.49,4.57,9.01,22.37,94.65,0.12,421,2123
2,Mexicano,Topa Topa,Flor-Fruto,7,70.7,100.6,243.5,0.159107271418287,2011-2012,00/01/1900,,05/03/2012,0.98,0.23,1.8,0.08,0.1,0.13,21.89,5.83,4.23,29.13,105.38,0.19,411.09,3100
2,Mexicano,Topa Topa,Flor-Fruto,8,71.3,96.9,247.6,0.207418622255867,2011-2012,00/01/1900,,30/04/2012,1.16,0.21,2.06,0.08,0.13,0.11,33.19,4.59,5.75,31.27,131.92,0.14,395.86,4000
2,Mexicano,Topa Topa,Flor-Fruto,1,,,,,2012-2013,00/01/1900,,03/09/2012,3.44,0.43,2.21,0.52,0.21,0.21,46.61,15.18,43.61,56.96,84.15,0.55,200,2300
2,Mexicano,Topa Topa,Flor-Fruto,2,,,,,2012-2013,00/01/1900,,20/09/2012,2.87,0.46,2.55,0.47,0.23,0.3,117.11,11.4,24.7,60.91,80.62,0.33,250,530.8
2,Mexicano,Topa Topa,Flor-Fruto,3,,,,,2012-2013,00/01/1900,,12/11/2012,3.38,0.51,2.13,0.47,0.27,0.22,87,18,26,76,86,0.4,250,300
2,Mexicano,Topa Topa,Flor-Fruto,4,27.1,32.65,31.1,0.135,2012-2013,00/01/1900,,04/12/2012,2.62,0.31,1.48,0.22,0.21,0.19,49.95,7.94,12.25,47.75,88.22,0.1,250,300
2,Mexicano,Topa Topa,Flor-Fruto,5,41.8,53.5,48.2,0.129,2012-2013,00/01/1900,,28/12/2012,1.52,0.26,1.5,0.15,0.13,0.16,43,14,7.8,50,138,0.1,250,300
2,Mexicano,Topa Topa,Flor-Fruto,6,60.2,80.9,150.9,0.133,2012-2013,00/01/1900,,30/01/2013,0.82,0.2,1.51,0.09,0.09,0.11,5,6.17,5,33.6,131,0.31,250,300
2,Mexicano,Topa Topa,Flor-Fruto,7,67.2,90.3,211.4,0.154,2012-2013,00/01/1900,,05/03/2013,1.57,0.21,2.1,0.14,0.11,0.13,29.1,5.22,5,25.1,86.8,0.29,250,315
2,Mexicano,Topa Topa,Flor-Fruto,8,74.1,100.2,269.3,0.197,2012-2013,00/01/1900,,03/05/2013,0.9,0.1,2.02,0.09,0.05,0.09,6.97,5,5,13.4,99.1,0.44,649,300
2,Mexicano,Topa Topa,Flor-Fruto,2,,,,,2013-2014,00/01/1900,,10/09/2013,2.98,0.43,2.07,0.33,0.2,0.38,135,11.6,20.4,60,86.2,0.1,250,332
