ARATO,Hass,Zutano,Foliar,Fruto en media cosecha (? 24% MS),2014-2015,178,III,5,23/06/2015,1.71,0.16,0.87,2.27,0.51,0.3,395,6.7,127,73,45,2.1,250,773
ARATO,Hass,Zutano,Foliar,Fruto en media cosecha (? 24% MS),2014-2015,82,II,2,23/06/2015,1.61,0.16,0.85,2.25,0.5,0.3,408,6.3,127,74,40,1.4,250,825
ARATO,Hass,Lula,Pulpa,Fruto en media cosecha (? 24% MS),2014-2015,119 A,V,3,23/06/2015,1.02,0.12,1.69,0.06,0.04,0.05,9.4,2.5,5,17,85,0.3,829.04,300
ARATO,Hass,Zutano,Pulpa,Fruto en media cosecha (? 24% MS),2014-2015,178,III,5,23/06/2015,1,0.09,1.8,0.06,0.05,0.06,17,2.9,5,11,94,0.1,671.01,300
ARATO,Hass,Zutano,Pulpa,Fruto en media cosecha (? 24% MS),2014-2015,82,II,2,23/06/2015,0.97,0.11,2.02,0.06,0.04,0.07,18,3.1,5,13,138,1.2,727.99,300
ARATO,Hass,Lula,Foliar,Fruto tamaño aceituna,2014-2015,119 A,V,3,02/12/2014,2.14,0.33,1.68,2.3,0.75,0.6,460,11,155,200,197,0.4,351.9,625
ARATO,Hass,Zutano,Foliar,Fruto tamaño aceituna,2014-2015,82,II,2,11/12/2014,2.66,0.18,1.15,1.44,0.36,0.27,571,8.5,61,54,74,0.1,483.6,494
ARATO,Hass,Zutano,Foliar,Fruto tamaño aceituna,2014-2015,178,III,5,02/12/2014,1.9,0.17,0.93,1.29,0.39,0.31,245,7.1,79,103,114,1.9,250,482
ARATO,Hass,Lula,Pulpa,Fruto tamaño aceituna,2014-2015,119 A,V,3,02/12/2014,1.97,0.23,1.17,0.12,0.13,0.12,45,12,11,44,82,0.7,250,302
ARATO,Hass,Zutano,Pulpa,Fruto tamaño aceituna,2014-2015,178,III,5,02/12/2014,1.89,0.09,0.5,0.06,0.05,0.05,15,5,5,17,37,0.5,250,341
ARATO,Hass,Zutano,Pulpa,Fruto tamaño aceituna,2014-2015,82,II,2,11/12/2014,2.28,0.31,1.39,0.2,0.18,0.15,75,12,12,56,78,0.1,250,526
ARATO,Hass,Lula,Foliar,Antesis,2015-2016,119 A,V,3,21/10/2015,2.7,0.33,1.56,0.68,0.26,0.27,88,10,29,58,152,0.5,250,439
ARATO,Hass,Lula,Foliar,Antesis,2015-2016,281B,III,8A,21/10/2015,3.12,0.35,1.31,0.82,0.36,0.28,176,12,54,85,206,0.1,366.48,440
ARATO,Hass,Zutano,Foliar,Antesis,2015-2016,178,III,5,21/10/2015,2.48,0.35,1.66,0.7,0.28,0.28,97,10,30,62,159,0.4,254.45,438
ARATO,Hass,Zutano,Foliar,Antesis,2015-2016,82,II,2,21/10/2015,2.87,0.34,1.54,0.74,0.3,0.28,117,11,15,50,134,0.2,252.09,411
ARATO,Hass,Zutano,Foliar,Antesis,2015-2016,255,IV,7,21/10/2015,2.53,0.33,1.58,0.77,0.3,0.34,168,10,13,66,143,0.1,273.94,480
ARATO,Hass,Lula,Foliar,Cuajado de fruto,2015-2016,281B,III,8A,16/11/2015,2.47,0.26,1.23,1.13,0.36,0.31,210.86,9.83,85.02,132.93,137.37,0.24,56.9,434.37
ARATO,Hass,Lula,Foliar,Cuajado de fruto,2015-2016,119 A,V,3,16/11/2015,2.92,0.25,1.35,1.34,0.36,0.43,252.35,8.13,34.57,101.24,107.22,0.57,22.96,751.6
ARATO,Hass,Zutano,Foliar,Cuajado de fruto,2015-2016,178,III,5,16/11/2015,1.93,0.13,1.18,2.25,0.36,0.47,248.44,113.48,124.89,83.24,47.25,0.35,4.11,1597.83
ARATO,Hass,Zutano,Foliar,Cuajado de fruto,2015-2016,82,II,2,16/11/2015,2.63,0.28,1.36,1.15,0.35,0.36,257.12,13.16,29.38,63.85,111.54,0.26,123.37,964.13
ARATO,Hass,Zutano,Foliar,Cuajado de fruto,2015-2016,255,IV,7,16/11/2015,2.89,0.25,1.29,1.29,0.37,0.44,274.26,8.27,36.94,105.81,108.29,0.53,20.75,738.99
ARATO,Hass,Lula,Foliar,Fruto en cosecha (? 21.5% MS),2015-2016,119 A,V,3,24/04/2016,2.12,0.18,1.19,3.1,0.62,0.37,171,102,85,166,102,0.2,250,420
ARATO,Hass,Lula,Foliar,Fruto en cosecha (? 21.5% MS),2015-2016,281B,III,8A,26/04/2016,2.41,0.21,0.95,2.75,0.52,0.36,212,18,226,139,84,0.1,250,823
ARATO,Hass,Zutano,Foliar,Fruto en cosecha (? 21.5% MS),2015-2016,82,II,2,26/04/2016,2.41,0.23,1.42,2.37,0.48,0.4,243,59,194,129,84,0.1,250,1466
ARATO,Hass,Zutano,Foliar,Fruto en cosecha (? 21.5% MS),2015-2016,255,IV,7,26/04/2016,2.07,0.22,1.43,2.29,0.47,0.39,236,57,193,128,83,0.2,250,1501
ARATO,Hass,Zutano,Foliar,Fruto en cosecha (? 21.5% MS),2015-2016,178,III,5,26/04/2016,2.11,0.21,1.47,2.08,0.49,0.39,207,114,126,133,87,0.3,250,1069
ARATO,Hass,Lula,Pulpa,Fruto en cosecha (? 21.5% MS),2015-2016,281B,III,8A,26/04/2016,1.26,0.18,1.86,0.19,0.13,0.1,31,8.6,5.1,37,103,0.1,453.3,157
ARATO,Hass,Lula,Pulpa,Fruto en cosecha (? 21.5% MS),2015-2016,119 A,V,3,26/04/2016,1.18,0.19,2.53,0.04,0.1,0.1,20,7.1,5,27,118,0.1,773.25,138
